match_id,match_date,league,home_team,away_team,result,prediction,confidence,correct,home_probability,draw_probability,away_probability,confidence_bucket
340,2025-05-03 16:30:00,La Liga,Las Palmas,Valencia,AWAY,HOME,41.08785240861551,False,41.08785240861551,29.012742750473393,29.899404840911092,40-44.9
1111,2025-05-03 18:45:00,Serie A,Inter,Hellas Verona,HOME,HOME,44.266233704121646,True,44.266233704121646,33.008010136208725,22.72575615966963,40-44.9
341,2025-05-03 19:00:00,La Liga,Valladolid,Barcelona,AWAY,AWAY,58.524392630148036,True,23.590285054805932,17.885322315046032,58.524392630148036,55-59.9
1112,2025-05-04 10:30:00,Serie A,Empoli,Lazio,AWAY,AWAY,43.23058352193483,True,27.45003309707734,29.319383380987833,43.23058352193483,40-44.9
342,2025-05-04 12:00:00,La Liga,Real Madrid,Celta Vigo,HOME,HOME,51.80394371917465,True,51.80394371917465,27.0556174918243,21.14043878900105,50-54.9
732,2025-05-04 13:00:00,Premier League,West Ham,Tottenham,DRAW,HOME,42.73460541994947,False,42.73460541994947,23.556471372434718,33.70892320761582,40-44.9
733,2025-05-04 13:00:00,Premier League,Brighton,Newcastle,DRAW,AWAY,65.63537135998139,False,17.40040594496094,16.96422269505768,65.63537135998139,60-69.9
734,2025-05-04 13:00:00,Premier League,Brentford,Manchester United,HOME,HOME,50.339979229929824,True,50.339979229929824,28.715410711339068,20.944610058731115,50-54.9
1113,2025-05-04 13:00:00,Serie A,Monza,Atalanta,AWAY,AWAY,46.919670465163236,True,22.987663741833924,30.092665793002844,46.919670465163236,45-49.9
1432,2025-05-04 13:30:00,Bundesliga,FC Augsburg,Holstein Kiel,AWAY,HOME,39.61582370623731,False,39.61582370623731,26.134932794755837,34.24924349900685,35-39.9
343,2025-05-04 14:15:00,La Liga,Sevilla,Leganes,DRAW,AWAY,36.44493169144115,False,34.30530863958904,29.249759668969823,36.44493169144115,35-39.9
735,2025-05-04 15:30:00,Premier League,Chelsea,Liverpool,HOME,HOME,36.07161868962795,True,36.07161868962795,29.193212514712595,34.735168795659455,35-39.9
1433,2025-05-04 15:30:00,Bundesliga,SC Freiburg,Bayer Leverkusen,DRAW,AWAY,37.54681129985345,False,35.97808723019176,26.475101469954776,37.54681129985345,35-39.9
1114,2025-05-04 16:00:00,Serie A,AS Roma,Fiorentina,HOME,HOME,40.83034292714892,True,40.83034292714892,34.24721145999035,24.92244561286073,40-44.9
344,2025-05-04 16:30:00,La Liga,Espanyol,Real Betis,AWAY,HOME,41.86628672990958,False,41.86628672990958,27.492294953737932,30.641418316352475,40-44.9
1434,2025-05-04 17:30:00,Bundesliga,FSV Mainz 05,Eintracht Frankfurt,DRAW,AWAY,57.71181293447896,False,19.74299387352153,22.54519319199951,57.71181293447896,55-59.9
1115,2025-05-04 18:45:00,Serie A,Bologna,Juventus,DRAW,DRAW,35.41164907976322,True,33.711744206274574,35.41164907976322,30.876606713962218,35-39.9
345,2025-05-04 19:00:00,La Liga,Real Sociedad,Athletic Club,DRAW,HOME,41.97106914963856,False,41.97106914963856,29.534443584989557,28.494487265371895,40-44.9
1116,2025-05-05 18:45:00,Serie A,Genoa,AC Milan,AWAY,AWAY,44.649049456323084,True,23.492105699335948,31.858844844340968,44.649049456323084,40-44.9
736,2025-05-05 19:00:00,Premier League,Crystal Palace,Nottingham Forest,DRAW,HOME,38.86879130703898,False,38.86879130703898,25.94268357383119,35.188525119129835,35-39.9
346,2025-05-05 19:00:00,La Liga,Girona,Mallorca,HOME,AWAY,39.00466121922617,False,33.20846941909463,27.78686936167919,39.00466121922617,35-39.9
1435,2025-05-09 18:30:00,Bundesliga,VfL Wolfsburg,1899 Hoffenheim,DRAW,AWAY,49.193736293341374,False,30.196920010278955,20.60934369637968,49.193736293341374,45-49.9
1117,2025-05-09 18:45:00,Serie A,AC Milan,Bologna,HOME,HOME,50.32391124835202,True,50.32391124835202,30.734326245460235,18.941762506187757,50-54.9
347,2025-05-09 19:00:00,La Liga,Las Palmas,Rayo Vallecano,AWAY,HOME,60.30574135231759,False,60.30574135231759,23.20333459890949,16.49092404877292,60-69.9
348,2025-05-10 12:00:00,La Liga,Valencia,Getafe,HOME,HOME,52.190652770582005,True,52.190652770582005,28.244922338415137,19.56442489100286,50-54.9
